###
# Charged Particle in Vertical Electric Field 
#-------- Runtime parameters ----#
# Solver used : explicit rk4
# Time step : 0.000100
#--------------------------------#
#    t      	     x      	     y      	     z      	     u      	     v      	     w      
###
2.650000e-01	3.796504e+00	-2.925067e+00	5.161999e-01	4.615363e+00	-1.839751e+01	1.896760e+00
2.700000e-01	3.818418e+00	-3.017287e+00	5.256789e-01	4.149879e+00	-1.848863e+01	1.894864e+00
2.750000e-01	3.838000e+00	-3.109934e+00	5.351485e-01	3.682730e+00	-1.856801e+01	1.892970e+00
2.800000e-01	3.855243e+00	-3.202948e+00	5.446086e-01	3.214212e+00	-1.863563e+01	1.891078e+00
2.850000e-01	3.870141e+00	-3.296271e+00	5.540593e-01	2.744619e+00	-1.869145e+01	1.889188e+00
2.900000e-01	3.882688e+00	-3.389843e+00	5.635005e-01	2.274249e+00	-1.873547e+01	1.887300e+00
2.950000e-01	3.892882e+00	-3.483606e+00	5.729323e-01	1.803396e+00	-1.876769e+01	1.885414e+00
3.000000e-01	3.900722e+00	-3.577500e+00	5.823547e-01	1.332356e+00	-1.878811e+01	1.883529e+00
3.050000e-01	3.906206e+00	-3.671467e+00	5.917676e-01	8.614238e-01	-1.879674e+01	1.881646e+00
3.100000e-01	3.909337e+00	-3.765448e+00	6.011711e-01	3.908941e-01	-1.879359e+01	1.879766e+00
3.150000e-01	3.910116e+00	-3.859383e+00	6.105653e-01	-7.894000e-02	-1.877870e+01	1.877887e+00
3.200000e-01	3.908549e+00	-3.953215e+00	6.199500e-01	-5.477860e-01	-1.875210e+01	1.876010e+00
3.250000e-01	3.904640e+00	-4.046885e+00	6.293254e-01	-1.015353e+00	-1.871382e+01	1.874135e+00
3.300000e-01	3.898398e+00	-4.140334e+00	6.386914e-01	-1.481350e+00	-1.866392e+01	1.872262e+00
3.350000e-01	3.889830e+00	-4.233505e+00	6.480480e-01	-1.945490e+00	-1.860245e+01	1.870390e+00
3.400000e-01	3.878947e+00	-4.326339e+00	6.573953e-01	-2.407486e+00	-1.852946e+01	1.868521e+00
3.450000e-01	3.865759e+00	-4.418780e+00	6.667332e-01	-2.867054e+00	-1.844504e+01	1.866653e+00
3.500000e-01	3.850280e+00	-4.510771e+00	6.760618e-01	-3.323910e+00	-1.834925e+01	1.864788e+00
3.550000e-01	3.832525e+00	-4.602254e+00	6.853811e-01	-3.777776e+00	-1.824217e+01	1.862924e+00
3.600000e-01	3.812508e+00	-4.693174e+00	6.946910e-01	-4.228371e+00	-1.812391e+01	1.861062e+00
3.650000e-01	3.790247e+00	-4.783475e+00	7.039917e-01	-4.675423e+00	-1.799454e+01	1.859202e+00
3.700000e-01	3.765760e+00	-4.873101e+00	7.132831e-01	-5.118657e+00	-1.785418e+01	1.857343e+00
