###
# Charged Particle in Vertical Electric Field 
#-------- Runtime parameters ----#
# Solver used : backward euler
# Time step : 0.000100
#--------------------------------#
#    t      	     x      	     y      	     z      	     u      	     v      	     w      
###
2.650000e+00	1.568967e+00	-2.114713e+00	4.113935e+00	9.112644e+00	-7.421893e+00	1.177213e+00
2.700000e+00	1.971733e+00	-2.536456e+00	4.172502e+00	6.923373e+00	-9.351373e+00	1.165500e+00
2.750000e+00	2.254784e+00	-3.039661e+00	4.230486e+00	4.350739e+00	-1.066599e+01	1.153903e+00
2.800000e+00	2.403048e+00	-3.591684e+00	4.287893e+00	1.560969e+00	-1.129690e+01	1.142421e+00
2.850000e+00	2.410061e+00	-4.157523e+00	4.344729e+00	-1.269628e+00	-1.121880e+01	1.131054e+00
2.900000e+00	2.278195e+00	-4.702017e+00	4.401000e+00	-3.965726e+00	-1.045057e+01	1.119800e+00
2.950000e+00	2.018340e+00	-5.192021e+00	4.456711e+00	-6.363774e+00	-9.053298e+00	1.108658e+00
3.000000e+00	1.649059e+00	-5.598407e+00	4.511867e+00	-8.321846e+00	-7.125613e+00	1.097627e+00
3.050000e+00	1.195291e+00	-5.897780e+00	4.566475e+00	-9.727958e+00	-4.796901e+00	1.086705e+00
3.100000e+00	6.866923e-01	-6.073809e+00	4.620539e+00	-1.050638e+01	-2.218700e+00	1.075892e+00
3.150000e+00	1.557074e-01	-6.118091e+00	4.674065e+00	-1.062160e+01	4.450812e-01	1.065187e+00
3.200000e+00	-3.644819e-01	-6.030514e+00	4.727059e+00	-1.007967e+01	3.028512e+00	1.054588e+00
3.250000e+00	-8.420189e-01	-5.819094e+00	4.779525e+00	-8.927067e+00	5.373913e+00	1.044095e+00
3.300000e+00	-1.248309e+00	-5.499327e+00	4.831470e+00	-7.246976e+00	7.341411e+00	1.033706e+00
3.350000e+00	-1.559719e+00	-5.093080e+00	4.882897e+00	-5.153457e+00	8.817209e+00	1.023421e+00
3.400000e+00	-1.758933e+00	-4.627116e+00	4.933813e+00	-2.783796e+00	9.720087e+00	1.013237e+00
3.450000e+00	-1.835898e+00	-4.131350e+00	4.984222e+00	-2.895720e-01	1.000576e+01	1.003156e+00
3.500000e+00	-1.788297e+00	-3.636939e+00	5.034130e+00	2.172963e+00	9.668873e+00	9.931741e-01
3.550000e+00	-1.621539e+00	-3.174338e+00	5.083541e+00	4.452617e+00	8.742563e+00	9.832919e-01
3.600000e+00	-1.348272e+00	-2.771436e+00	5.132460e+00	6.412473e+00	7.295647e+00	9.735080e-01
3.650000e+00	-9.874589e-01	-2.451887e+00	5.180893e+00	7.938054e+00	5.427672e+00	9.638215e-01
3.700000e+00	-5.630839e-01	-2.233738e+00	5.228843e+00	8.943929e+00	3.262167e+00	9.542314e-01
3.750000e+00	-1.025736e-01	-2.128422e+00	5.276317e+00	9.378404e+00	9.385523e-01	9.447366e-01
3.800000e+00	3.649625e-01	-2.140193e+00	5.323318e+00	9.226044e+00	-1.396774e+00	9.353364e-01
3.850000e+00	8.105599e-01	-2.265998e+00	5.369851e+00	8.507896e+00	-3.599600e+00	9.260297e-01
3.900000e+00	1.207182e+00	-2.495818e+00	5.415922e+00	7.279475e+00	-5.536746e+00	9.168156e-01
3.950000e+00	1.531348e+00	-2.813415e+00	5.461534e+00	5.626653e+00	-7.094059e+00	9.076932e-01
4.000000e+00	1.764513e+00	-3.197467e+00	5.506692e+00	3.659760e+00	-8.183070e+00	8.986615e-01
4.050000e+00	1.894107e+00	-3.622976e+00	5.551401e+00	1.506299e+00	-8.745939e+00	8.897197e-01
4.100000e+00	1.914199e+00	-4.062883e+00	5.595665e+00	-6.972564e-01	-8.758416e+00	8.808669e-01
4.150000e+00	1.825724e+00	-4.489782e+00	5.639489e+00	-2.814056e+00	-8.230662e+00	8.721022e-01
4.200000e+00	1.636294e+00	-4.877611e+00	5.682877e+00	-4.715316e+00	-7.205946e+00	8.634247e-01
4.250000e+00	1.359593e+00	-5.203236e+00	5.725833e+00	-6.288098e+00	-5.757316e+00	8.548335e-01
4.300000e+00	1.014413e+00	-5.447816e+00	5.768361e+00	-7.441962e+00	-3.982503e+00	8.463278e-01
4.350000e+00	6.233970e-01	-5.597882e+00	5.810466e+00	-8.114087e+00	-1.997409e+00	8.379067e-01
4.400000e+00	2.115619e-01	-5.646059e+00	5.852153e+00	-8.272605e+00	7.140237e-02	8.295695e-01
4.450000e+00	-1.952879e-01	-5.591400e+00	5.893424e+00	-7.917944e+00	2.094720e+00	8.213152e-01
